the: national 0.5
the: green 0.5
the, national: green 1.0
tribunal3, also, rejected: the 1.0
maintainability, of, vedanta3: plea 1.0
of, vedanta3, plea: $ 1.0
order, against, sterlite3: $ 1.0
national, green, tribunal4: ngt 1.0
green, tribunal4, ngt: on 1.0
tribunal4, ngt, on: thursday 1.0
thursday, granted, vedanta4: limited4 1.0
granted, vedanta4, limited4: access 1.0
vedanta4, limited4, access: to 1.0
limited4, access, to: its 1.0
to, its, administrative4: section 1.0
its, administrative4, section: of 1.0
administrative4, section, of: the 1.0
of, the, sterlite4: copper4 1.0
the, sterlite4, copper4: plant 1.0
sterlite4, copper4, plant: in 1.0
copper4, plant, in: tuticorin 1.0
the, green, panel4: said 0.5
the, green, panel4: was 0.5
green, panel4, said: that 1.0
panel4, said, that: production 1.0
that, production, process4: will 1.0
production, process4, will: continue 1.0
process4, will, continue: to 1.0
headed, by, ngt4: chairperson 1.0
by, ngt4, chairperson: adarsh 1.0
ngt4, chairperson, adarsh: kumar 1.0
pollution, control, board4: tnpcb 1.0
control, board4, tnpcb: to 1.0
board4, tnpcb, to: submit 1.0
sipcot, industrial, area4: $ 1.0
green, panel4, was: hearing 1.0
panel4, was, hearing: a 1.0
moved, by, vedanta4: where 1.0
by, vedanta4, where: the 1.0
vedanta4, where, the: mining 1.0
hindu, explains, sterlite4: protests 1.0
explains, sterlite4, protests: the 1.0
sterlite4, protests, the: tribunal4 1.0
protests, the, tribunal4: also 1.0
the, tribunal4, also: rejected 1.0
tribunal4, also, rejected: the 1.0
maintainability, of, vedanta4: plea 1.0
of, vedanta4, plea: $ 1.0
order, against, sterlite4: $ 1.0
